                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.53993,                0.35309,                0.95056,                0.95035,                      1,                  0.995,                0.87012,                0.62495,                0.28979,                 1.0431,             0.00019799,             0.00019799,             0.00019799
                     75,                0.52228,                0.32499,                0.93121,                0.96502,                      1,                  0.995,                0.85759,                0.60742,                0.29296,                 1.0465,             0.00019092,             0.00019092,             0.00019092
                     76,                0.52157,                0.32856,                 0.9308,                0.97048,                      1,                  0.995,                0.85254,                0.58551,                0.29695,                 1.0406,             0.00018385,             0.00018385,             0.00018385
                     77,                0.52829,                0.33706,                0.93516,                0.97224,                      1,                  0.995,                0.86953,                0.56341,                0.28814,                 1.0314,             0.00017679,             0.00017679,             0.00017679
                     78,                0.52276,                0.34441,                0.94858,                0.95721,                      1,                  0.995,                0.87353,                0.56484,                0.28518,                 1.0385,             0.00016972,             0.00016972,             0.00016972
                     79,                0.53346,                0.33417,                0.95642,                0.93716,                      1,                  0.995,                0.86901,                0.59277,                0.29731,                  1.053,             0.00016265,             0.00016265,             0.00016265
                     80,                0.53438,                0.33552,                0.94196,                0.97606,                      1,                  0.995,                 0.8633,                0.62893,                0.29238,                  1.069,             0.00015558,             0.00015558,             0.00015558
                     81,                0.53237,                0.34565,                0.95495,                0.97783,                      1,                  0.995,                0.85415,                0.64235,                0.28606,                  1.079,             0.00014851,             0.00014851,             0.00014851
                     82,                0.50538,                0.32959,                0.93475,                0.97225,                      1,                  0.995,                0.84038,                0.65421,                0.27954,                 1.0917,             0.00014144,             0.00014144,             0.00014144
                     83,                0.53063,                0.32153,                0.95369,                0.94461,                      1,                  0.995,                0.84756,                0.63652,                0.27668,                 1.0612,             0.00013437,             0.00013437,             0.00013437
                     84,                0.49595,                0.31938,                0.92851,                0.94756,                      1,                  0.995,                 0.8725,                0.59597,                 0.2705,                 1.0307,             0.00012731,             0.00012731,             0.00012731
                     85,                0.48487,                0.31171,                0.92259,                 0.9667,                      1,                  0.995,                0.87758,                0.60789,                 0.2824,                 1.0359,             0.00012024,             0.00012024,             0.00012024
                     86,                0.50789,                0.32597,                0.93969,                0.97104,                      1,                  0.995,                0.86516,                0.60838,                0.28429,                 1.0358,             0.00011317,             0.00011317,             0.00011317
                     87,                0.48531,                0.30352,                0.90962,                 0.9647,                      1,                  0.995,                0.86541,                0.59423,                0.29353,                 1.0236,              0.0001061,              0.0001061,              0.0001061
                     88,                0.48039,                0.30318,                0.90054,                0.95405,                      1,                  0.995,                0.88214,                0.61098,                0.28809,                  1.017,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.45593,                0.30389,                0.89191,                0.95172,                      1,                  0.995,                0.86998,                 0.6318,                0.27485,                 1.0247,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.47838,                0.30641,                0.91537,                0.95966,                      1,                  0.995,                 0.8823,                0.60891,                0.28005,                 1.0258,             8.4895e-05,             8.4895e-05,             8.4895e-05
